id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51884213,Schitterend nieuwbouw appartement in Gent,196535693,Wim,,Binnenstad,51.04423,3.73531,Entire home/apt,250,3,1,2021-10-15,0.43,2,294,1,
51917982,Gezellige stadswoning - kamer vlakbij Gent,91527364,Ankie,,Oud Gentbrugge,51.04381,3.75783,Private room,30,3,1,2021-12-04,1,1,32,1,
51950339,Gezellig Gents rijtjeshuis met stadstuin,103424500,Isabeau,,Brugse Poort - Rooigem,51.05853,3.69297,Entire home/apt,144,1,0,,,1,143,0,
51985040,Modern house with garden close to city centre,29212917,Charlotte,,Binnenstad,51.03767,3.73184,Entire home/apt,60,29,1,2021-11-30,1,1,159,1,
52088132,Hoogpoort 26 / 2p loft with garden in city center,68723337,Ziggy,,Binnenstad,51.055386,3.723234,Entire home/apt,149,2,7,2021-12-13,2.04,1,363,7,
52139188,Bright Rooftop Appartment with FREE parking.,417661319,Laura,,Elisabethbegijnhof - Papegaai,51.05673,3.71241,Entire home/apt,49,1,28,2021-12-19,13.55,2,91,28,
52140090,Cosy worker's house in Ghent center,90359204,Tess,,Watersportbaan - Ekkergem,51.05032,3.70222,Entire home/apt,120,2,4,2021-11-03,1.35,1,0,4,
52164361,Lichtrijke slaapkamer met badkamer,422290597,Karel,,Ledeberg,51.03278,3.74349,Private room,63,1,15,2021-12-19,4.41,1,89,15,
52181656,Renovated Apartment in Ancient Town House,418756270,Simon,,Macharius - Heirnis,51.05433,3.73763,Entire home/apt,43,1,24,2021-12-21,8.78,3,351,24,
52181954,Stylish Apartment in Renovated Town House,418756270,Simon,,Macharius - Heirnis,51.05361,3.73772,Entire home/apt,43,1,18,2021-12-17,7.94,3,344,18,
52233015,Puur Patershol,422823406,Bart,,Binnenstad,51.05938,3.72271,Private room,125,1,12,2021-12-18,5.54,1,163,12,
52257316,Bright and Cosy Little House in the City Centre,404474143,Laurens,,Sluizeken - Tolhuis - Ham,51.06136,3.73419,Entire home/apt,85,1,2,2021-11-01,0.67,1,342,2,
52277743,Gezellig duplex appartement,35226827,Tim,,Sint Amandsberg,51.06363,3.75158,Entire home/apt,50,2,0,,,1,272,0,
52317100,Gezellige woning op fietsafstand van centrum,83234067,Ervin,,Wondelgem,51.08212,3.7148,Entire home/apt,111,3,0,,,1,8,0,
52379961,Ruim appartement met terras bij het Begijnhof.,423974159,Camille,,Elisabethbegijnhof - Papegaai,51.05726,3.71297,Entire home/apt,158,2,7,2021-11-14,3.09,1,92,7,
52400978,Unique luxury apartment with cosy garden!,53142300,Dorothy,,Stationsbuurt Zuid,51.03163,3.70665,Entire home/apt,160,1,10,2021-12-07,4.05,3,34,10,
52449003,Typical townhouse in Ghent,71477614,Thomas,,Brugse Poort - Rooigem,51.05763,3.70491,Entire home/apt,79,1,8,2021-12-12,5.85,1,237,8,
52452927,Spacious private room near historic downtown,57750582,Ruben,,Bloemekenswijk,51.06661,3.69915,Private room,60,2,1,2021-11-22,0.94,4,311,1,
52480384,Vintage & botanical home with jacuzzi in Gent,54858845,Esteban & Jeroen,,Wondelgem,51.08228,3.70744,Entire home/apt,141,2,13,2021-12-19,5.20,1,348,13,
52511715,Amazing studio to visit Ghent,68361339,Tony,,Binnenstad,51.05163,3.72145,Entire home/apt,115,2,0,,,2,356,0,
52511738,Duplex in heart of city center Ghent,68361339,Tony,,Binnenstad,51.05251,3.72207,Entire home/apt,127,2,0,,,2,174,0,
52605152,"Authentic house,  15’ walk from City center",52704725,Jonas,,Binnenstad,51.04084,3.73689,Entire home/apt,200,2,4,2021-12-19,1.97,1,335,4,
52624490,Cosy Sous-Sol near the city center,22020470,Sam,,Muide - Meulestede - Afrikalaan,51.07089,3.73052,Entire home/apt,125,2,2,2021-12-21,2,1,352,2,
52683017,Gezellige moderne woning vlakbij Gent,42744851,Katia,,Wondelgem,51.08192,3.71327,Entire home/apt,150,3,2,2021-11-14,1.22,1,95,2,
52691104,Luxurious 18thC Ghent mansion with private patio,417818621,Brian,,Elisabethbegijnhof - Papegaai,51.05617,3.71077,Private room,75,1,12,2021-12-23,5.14,2,345,12,
52705010,Le Grand Bordeleau,13829824,Francis,,Muide - Meulestede - Afrikalaan,51.08179,3.72779,Entire home/apt,125,4,3,2021-11-21,1.34,6,351,3,
52710465,Villa with citygarden  for WE getaway or LT-stay,4469506,Mo,,Sint Amandsberg,51.05931,3.75145,Entire home/apt,153,4,2,2021-11-14,1.22,1,341,2,
52711969,Cosy Room Double Bed close to Dampoort train (1),225731308,Sander,,Sint Amandsberg,51.06333,3.74569,Private room,45,1,8,2021-12-19,3.33,3,341,8,
52719901,Go for four.,225731308,Sander,,Sint Amandsberg,51.06369,3.74515,Private room,90,1,3,2021-12-12,3,3,329,3,
52744185,Amazing 1 bedroom penthouse w stunning city views,67050524,Bart,,Binnenstad,51.055916,3.724911,Entire home/apt,160,2,1,2021-11-14,0.75,1,365,1,
52751606,Private room in city house (with two bikes),59883922,Nikie,,Sint Amandsberg,51.06442,3.762,Private room,27,2,3,2021-12-09,1.41,2,337,3,
52756889,Cosy room double bed close to Dampoort train (2),225731308,Sander,,Sint Amandsberg,51.06161,3.74579,Private room,35,1,20,2021-12-15,8.45,3,333,20,
52766914,Room w/ private bathroom - near train station,23154216,Maxime,,Stationsbuurt Noord,51.04157,3.70816,Private room,59,2,9,2021-12-19,4.43,1,73,9,
52786967,Edville Penthouse,414263,Edward En Daphne,,Moscou - Vogelhoek,51.02787,3.74945,Entire home/apt,175,14,0,,,10,365,0,
52819134,Unieke loftstudio aan de leie,110115587,Nelson,,Binnenstad,51.057884,3.723999,Entire home/apt,115,1,13,2021-12-18,6.09,1,350,13,
52856423,KØBENHAVN Gent met gratis parking,274486248,Raphaël,,Muide - Meulestede - Afrikalaan,51.07464,3.72855,Entire home/apt,77,2,3,2021-11-14,1.67,1,141,3,
52871376,Trendy Apartment to Discover Belgium,85785507,Edward,,Zwijnaarde,50.99827,3.70953,Entire home/apt,108,2,1,2021-10-30,0.55,6,358,1,
52873787,Cozy apartment close to the city center.,108536678,Titus,,Muide - Meulestede - Afrikalaan,51.07083,3.7309,Entire home/apt,94,2,4,2021-11-23,2.26,1,173,4,
52928658,"watermolenstraat16,Gent 9000, België",428489612,Samed,,Binnenstad,51.04771,3.73011,Private room,84,1,1,2021-11-04,0.59,1,365,1,
52974458,BnB Renee - trendy apartment near station,86455568,Frederik,,Stationsbuurt Noord,51.03915,3.71786,Entire home/apt,98,4,0,,,2,177,0,
53003259,Stylish loft apartment in the heart of the city,114124939,Karen,,Binnenstad,51.04802,3.72093,Entire home/apt,75,2,6,2021-12-13,3.83,1,28,6,
53038105,Duplex Design Appartement,399933399,Bruno,,Elisabethbegijnhof - Papegaai,51.05444,3.71998,Private room,199,3,1,2021-12-01,1,1,358,1,
53075129,Cozy 1-bed room in an apartment in Gent,337728872,Minh,,Wondelgem,51.09605,3.71404,Private room,32,1,5,2021-12-05,3.57,1,8,5,
53150508,Furnished Expat flat centrum Ghent,59580834,Valentijn,,Binnenstad,51.04872,3.73665,Entire home/apt,60,6,3,2021-11-26,2.05,1,164,3,
53195975,"Modern, beautiful & warm appartement in Ghent",57719463,Kim,,Zwijnaarde,51.01771,3.70583,Entire home/apt,101,3,1,2021-12-11,1,1,267,1,
53251143,Sfeervolle woonwagen in  stadstuin met zwemvijver,63999860,Ellen,,Oud Gentbrugge,51.04045,3.75347,Entire home/apt,59,2,1,2021-11-21,0.88,1,360,1,
53266486,"Gezellig, lichtrijk rijtjeshuis in Gent",130934600,Lotte,,Bloemekenswijk,51.06562,3.70871,Entire home/apt,90,2,0,,,1,120,0,
53277029,Home in Ghent center,2688943,Nosheen,,Binnenstad,51.05548,3.72707,Entire home/apt,360,1,1,2021-12-22,1,1,360,1,
53294939,Smal apartment located the center gent,431470428,محمد الهندي,,Binnenstad,51.05449,3.72564,Entire home/apt,120,1,2,2021-11-28,1.82,1,23,2,
53319198,Lovely one bedroom apartment in the heart of Ghent,389348727,Arnaud,,Binnenstad,51.05007,3.72628,Entire home/apt,109,2,5,2021-12-12,4.55,1,323,5,
53348670,Cosy 2-bedroom apartment in city centre + parking,208414878,Laura,,Macharius - Heirnis,51.04773,3.7409,Entire home/apt,65,1,0,,,1,330,0,
53390370,the cottage: tiny house for two,92862017,Lut,,Sint Amandsberg,51.06357,3.76249,Entire home/apt,50,2,2,2021-12-21,1.76,1,77,2,
53390386,DeLux City Apartment with lounge terras and BBQ,432290136,Vicky,,Elisabethbegijnhof - Papegaai,51.05153,3.71733,Entire home/apt,135,2,2,2021-12-18,1.76,1,342,2,
53394617,appartement met terras en gratis parkeren in Gent,263478189,Kim,,Sint Amandsberg,51.0768,3.75188,Entire home/apt,30,1,1,2021-12-06,1,1,299,1,
53413874,Studio Kalvermarkt.,25688131,Sofie,,Binnenstad,51.05567,3.73221,Private room,70,2,0,,,1,351,0,
53472483,CowNdance - quiet condo near the city centre,433002460,Angelo,,Macharius - Heirnis,51.05373,3.73704,Entire home/apt,87,1,0,,,1,362,0,
53507394,Pretty apartment with garden near the city center.,84656923,Steffi,,Macharius - Heirnis,51.04428,3.74077,Entire home/apt,33,1,1,2021-12-07,1,1,52,1,
53507844,Studio Tzawel : private ensuite downtown Gent,3138091,Dieter,,Sluizeken - Tolhuis - Ham,51.06106,3.72923,Entire home/apt,66,2,0,,,1,181,0,
53523664,Bright spacious apartment - Art district Gent,269150990,Valerie,,Stationsbuurt Noord,51.03444,3.71701,Entire home/apt,83,1,1,2021-12-19,1,1,3,1,
53530628,"En douceur, Zen Studio in the city centre of Ghent",433468746,Frederick,,Binnenstad,51.0482,3.72955,Entire home/apt,86,2,2,2021-12-15,2,1,75,2,
53556774,"Something Els, guestroom in the centre of the city",53059501,Els,,Elisabethbegijnhof - Papegaai,51.05235,3.71881,Private room,63,2,2,2021-12-19,2,2,72,2,
53557922,Masterbedroom in monumentale Interbellum-Villa,275961023,Bruno,,Stationsbuurt Zuid,51.02427,3.71369,Private room,78,1,0,,,1,359,0,
53567829,Spacious luxury apartment with Castle view!,54994195,Sara,,Binnenstad,51.05762,3.72124,Entire home/apt,175,2,0,,,2,312,0,
53638986,Charmant herenhuis voor kattenliefhebbers,433790569,Hilde,,Macharius - Heirnis,51.050014,3.739953,Entire home/apt,236,2,0,,,1,60,0,
53684925,"Ruim, licht, goedgelegen apt 2 slpk gratis parking",6213435,Nathalie,,Ledeberg,51.03572,3.73774,Entire home/apt,112,2,0,,,1,360,0,
53701242,3 Bedroom Appartement in a Cozy Art-Deco House,53142300,Dorothy,,Stationsbuurt Noord,51.03564,3.71474,Entire home/apt,185,1,1,2021-12-09,1,3,81,1,
53762521,Cosy shared studio in the city center of Gent,367609280,Mohammed,,Rabot  - Blaisantvest,51.05774,3.70842,Shared room,40,1,0,,,2,357,0,
53764037,Bright room in the heart of Ghent with great view,435444618,Joëlle,,Binnenstad,51.04254,3.72047,Private room,70,1,1,2021-12-20,1,1,175,1,
53771645,Cosy studio near Ghent - Acogedor studio en Gantes,38692216,Alisa,,Ledeberg,51.03496,3.73632,Entire home/apt,60,2,0,,,1,360,0,
53778878,Stylish 2 bedroom appartement near UZ Ghent,9589373,Stefanie,,Nieuw Gent - UZ,51.01778,3.72654,Entire home/apt,45,30,0,,,1,360,0,
53780122,BIG Studio- city centre location,435585844,Dee,,Binnenstad,51.05316,3.72565,Entire home/apt,76,5,0,,,1,11,0,
53784107,Beautiful apartment in the center of gent,435628302,Belal,,Elisabethbegijnhof - Papegaai,51.05565,3.71216,Entire home/apt,55,1,0,,,1,364,0,
53789503,Cosy shared room in the city center of Gent,367609280,Mohammed,,Elisabethbegijnhof - Papegaai,51.05604,3.71011,Shared room,32,1,0,,,2,352,0,
53823828,Spacious and bright room in the center of Ghent,435988230,Anastasia,,Sluizeken - Tolhuis - Ham,51.06205,3.72799,Private room,64,1,0,,,1,302,0,
53837637,Single plus studio,414429921,Roxi Residence,,Binnenstad,51.0498,3.72386,Private room,109,1,0,,,3,336,0,
53838635,Twin studio,414429921,Roxi Residence,,Binnenstad,51.05175,3.72438,Private room,109,1,0,,,3,334,0,
53838768,Single studio,414429921,Roxi Residence,,Binnenstad,51.05041,3.72304,Private room,97,1,0,,,3,336,0,
53839856,Charming room in central Gent,352265809,Kirby,,Brugse Poort - Rooigem,51.06585,3.69901,Private room,28,1,0,,,1,287,0,
53855827,Lovely Bohemian Appartment City Center Ghent,310483440,Liesa,,Binnenstad,51.05271,3.73444,Entire home/apt,60,20,0,,,1,28,0,
53872199,Private room with bathroom in Edgar Guesthouse,436371446,Steven,,Binnenstad,51.05625,3.7291,Private room,125,1,0,,,1,358,0,
53898191,Unique appartement with garden in heart of Ghent,152004212,Louis,,Binnenstad,51.04637,3.72206,Entire home/apt,72,3,0,,,1,193,0,
53904947,شقة مزودة بخدمات رائعة في سنتر جينت,431422770,Ahmad,,Binnenstad,51.0594,3.72638,Entire home/apt,54,1,0,,,1,68,0,
53926083,"Privekamer in huis te Gent.
gedeelde ruimtes.",92227740,Joachim,,Brugse Poort - Rooigem,51.06435,3.69758,Private room,20,12,0,,,1,215,0,
